force_n,voltage
0.0,0.0
1.962,2.1879
2.4525,2.7625
2.943,2.8874
3.4335,2.9616
3.924,2.9922
4.4145,2.9986
4.905,3.0389
5.886,3.0687
8.829,3.1139
9.81,3.1268
14.715,3.1308
