trial,target_g,time_s,raw,voltage
4,50,0.411,256,0.0129
4,50,0.463,320,0.0161
4,50,0.514,816,0.0411
4,50,0.565,320,0.0161
4,50,0.616,768,0.0387
4,50,0.668,272,0.0137
4,50,0.719,336,0.0169
4,50,0.770,384,0.0193
4,50,0.821,320,0.0161
4,50,0.873,896,0.0451
4,50,0.924,336,0.0169
4,50,0.975,720,0.0363
4,50,1.026,336,0.0169
4,50,1.078,288,0.0145
4,50,1.129,224,0.0113
4,50,1.180,336,0.0169
4,50,1.231,832,0.0419
4,50,1.283,336,0.0169
4,50,1.334,912,0.0459
4,50,1.385,256,0.0129
4,50,1.437,160,0.0081
4,50,1.488,320,0.0161
4,50,1.539,576,0.0290
4,50,1.590,944,0.0475
4,50,1.641,320,0.0161
4,50,1.692,848,0.0427
4,50,1.743,320,0.0161
4,50,1.794,672,0.0338
4,50,1.846,320,0.0161
4,50,1.897,320,0.0161
4,50,1.948,352,0.0177
4,50,2.000,320,0.0161
4,50,2.051,864,0.0435
4,50,2.102,208,0.0105
4,50,2.153,672,0.0338
4,50,2.204,320,0.0161
4,50,2.256,320,0.0161
4,50,2.307,304,0.0153
4,50,2.358,336,0.0169
4,50,2.410,864,0.0435
4,50,2.461,320,0.0161
4,50,2.512,704,0.0354
4,50,2.563,336,0.0169
4,50,2.615,320,0.0161
4,50,2.666,480,0.0242
4,50,2.717,176,0.0089
4,50,2.768,896,0.0451
4,50,2.820,320,0.0161
4,50,2.871,736,0.0371
4,50,2.922,336,0.0169
4,50,2.973,320,0.0161
5,50,0.000,336,0.0169
5,50,0.051,656,0.0330
5,50,0.103,336,0.0169
5,50,0.154,320,0.0161
5,50,0.205,336,0.0169
5,50,0.256,352,0.0177
5,50,0.308,816,0.0411
5,50,0.359,320,0.0161
5,50,0.410,496,0.0250
5,50,0.461,336,0.0169
5,50,0.513,256,0.0129
5,50,0.564,336,0.0169
5,50,0.615,208,0.0105
5,50,0.666,864,0.0435
5,50,0.717,304,0.0153
5,50,0.768,768,0.0387
5,50,0.819,336,0.0169
5,50,0.871,336,0.0169
5,50,0.922,352,0.0177
5,50,0.973,320,0.0161
5,50,1.024,416,0.0209
5,50,1.075,336,0.0169
5,50,1.126,880,0.0443
5,50,1.177,320,0.0161
5,50,1.229,480,0.0242
5,50,1.280,160,0.0081
5,50,1.331,320,0.0161
5,50,1.382,672,0.0338
5,50,1.434,320,0.0161
5,50,1.485,784,0.0395
5,50,1.536,288,0.0145
5,50,1.587,832,0.0419
5,50,1.638,352,0.0177
5,50,1.689,304,0.0153
5,50,1.740,320,0.0161
5,50,1.792,320,0.0161
5,50,1.843,864,0.0435
5,50,1.894,320,0.0161
5,50,1.945,688,0.0346
5,50,1.997,320,0.0161
5,50,2.048,304,0.0153
5,50,2.099,464,0.0234
5,50,2.150,320,0.0161
5,50,2.201,640,0.0322
5,50,2.252,544,0.0274
5,50,2.303,768,0.0387
5,50,2.354,592,0.0298
5,50,2.405,640,0.0322
5,50,2.456,272,0.0137
5,50,2.507,320,0.0161
5,50,2.559,320,0.0161
5,50,2.610,352,0.0177
5,50,2.661,832,0.0419
5,50,2.712,432,0.0218
5,50,2.764,576,0.0290
5,50,2.815,320,0.0161
5,50,2.866,480,0.0242
5,50,2.917,384,0.0193
5,50,2.968,320,0.0161
6,50,0.001,128,0.0064
6,50,0.052,688,0.0346
6,50,0.104,320,0.0161
6,50,0.155,352,0.0177
6,50,0.206,304,0.0153
6,50,0.257,320,0.0161
6,50,0.309,864,0.0435
6,50,0.360,336,0.0169
6,50,0.411,656,0.0330
6,50,0.462,320,0.0161
6,50,0.514,336,0.0169
6,50,0.565,336,0.0169
6,50,0.616,240,0.0121
6,50,0.667,784,0.0395
6,50,0.718,480,0.0242
6,50,0.769,720,0.0363
6,50,0.820,352,0.0177
6,50,0.872,320,0.0161
6,50,0.923,320,0.0161
6,50,0.974,336,0.0169
6,50,1.025,800,0.0403
6,50,1.077,208,0.0105
6,50,1.128,768,0.0387
6,50,1.179,208,0.0105
6,50,1.230,336,0.0169
6,50,1.282,256,0.0129
6,50,1.333,320,0.0161
6,50,1.384,320,0.0161
6,50,1.435,320,0.0161
6,50,1.487,848,0.0427
6,50,1.538,272,0.0137
6,50,1.589,272,0.0137
6,50,1.641,320,0.0161
6,50,1.692,336,0.0169
6,50,1.743,944,0.0475
6,50,1.794,320,0.0161
6,50,1.846,800,0.0403
6,50,1.897,320,0.0161
6,50,1.948,576,0.0290
6,50,1.999,512,0.0258
6,50,2.051,160,0.0081
6,50,2.102,320,0.0161
6,50,2.153,352,0.0177
6,50,2.204,336,0.0169
6,50,2.255,320,0.0161
6,50,2.306,672,0.0338
6,50,2.357,320,0.0161
6,50,2.409,304,0.0153
6,50,2.460,320,0.0161
6,50,2.511,400,0.0201
6,50,2.562,896,0.0451
6,50,2.614,320,0.0161
6,50,2.665,656,0.0330
6,50,2.716,320,0.0161
6,50,2.767,320,0.0161
6,50,2.819,320,0.0161
6,50,2.870,320,0.0161
6,50,2.921,848,0.0427
6,50,2.972,272,0.0137
7,75,0.000,336,0.0169
7,75,0.051,320,0.0161
7,75,0.102,320,0.0161
7,75,0.153,304,0.0153
7,75,0.204,848,0.0427
7,75,0.256,320,0.0161
7,75,0.307,560,0.0282
7,75,0.358,320,0.0161
7,75,0.409,336,0.0169
7,75,0.460,320,0.0161
7,75,0.511,272,0.0137
7,75,0.562,896,0.0451
7,75,0.613,192,0.0097
7,75,0.665,688,0.0346
7,75,0.716,320,0.0161
7,75,0.767,400,0.0201
7,75,0.818,464,0.0234
7,75,0.869,384,0.0193
7,75,0.920,592,0.0298
7,75,0.971,320,0.0161
7,75,1.022,832,0.0419
7,75,1.073,352,0.0177
7,75,1.124,528,0.0266
7,75,1.175,288,0.0145
7,75,1.227,320,0.0161
7,75,1.278,288,0.0145
7,75,1.329,336,0.0169
7,75,1.380,848,0.0427
7,75,1.431,272,0.0137
7,75,1.482,768,0.0387
7,75,1.533,336,0.0169
7,75,1.585,336,0.0169
7,75,1.636,400,0.0201
7,75,1.687,208,0.0105
7,75,1.738,816,0.0411
7,75,1.790,320,0.0161
7,75,1.841,672,0.0338
7,75,1.892,320,0.0161
7,75,1.943,320,0.0161
7,75,1.995,336,0.0169
7,75,2.046,384,0.0193
7,75,2.097,896,0.0451
7,75,2.148,480,0.0242
7,75,2.199,832,0.0419
7,75,2.250,272,0.0137
7,75,2.301,384,0.0193
7,75,2.352,320,0.0161
7,75,2.403,368,0.0185
7,75,2.454,320,0.0161
7,75,2.505,192,0.0097
7,75,2.557,864,0.0435
7,75,2.608,320,0.0161
7,75,2.659,624,0.0314
7,75,2.711,320,0.0161
7,75,2.762,336,0.0169
7,75,2.813,304,0.0153
7,75,2.864,320,0.0161
7,75,2.916,912,0.0459
7,75,2.967,304,0.0153
8,75,0.001,320,0.0161
8,75,0.052,832,0.0419
8,75,0.104,160,0.0081
8,75,0.155,384,0.0193
8,75,0.206,208,0.0105
8,75,0.258,176,0.0089
8,75,0.309,848,0.0427
8,75,0.360,336,0.0169
8,75,0.411,896,0.0451
8,75,0.463,176,0.0089
8,75,0.514,304,0.0153
8,75,0.565,592,0.0298
8,75,0.617,304,0.0153
8,75,0.668,816,0.0411
8,75,0.719,304,0.0153
8,75,0.770,928,0.0467
8,75,0.822,240,0.0121
8,75,0.873,320,0.0161
8,75,0.924,320,0.0161
8,75,0.975,304,0.0153
8,75,1.027,800,0.0403
8,75,1.078,336,0.0169
8,75,1.129,768,0.0387
8,75,1.180,256,0.0129
8,75,1.231,544,0.0274
8,75,1.282,336,0.0169
8,75,1.333,320,0.0161
8,75,1.385,320,0.0161
8,75,1.436,320,0.0161
8,75,1.487,832,0.0419
8,75,1.538,256,0.0129
8,75,1.590,400,0.0201
8,75,1.641,320,0.0161
8,75,1.692,288,0.0145
8,75,1.743,368,0.0185
8,75,1.795,320,0.0161
8,75,1.846,800,0.0403
8,75,1.897,320,0.0161
8,75,1.948,624,0.0314
8,75,1.999,336,0.0169
8,75,2.050,320,0.0161
8,75,2.101,320,0.0161
8,75,2.153,320,0.0161
8,75,2.204,848,0.0427
8,75,2.255,320,0.0161
8,75,2.306,736,0.0371
8,75,2.358,320,0.0161
8,75,2.409,336,0.0169
8,75,2.460,208,0.0105
8,75,2.511,352,0.0177
8,75,2.563,944,0.0475
8,75,2.614,544,0.0274
8,75,2.665,656,0.0330
8,75,2.716,336,0.0169
8,75,2.768,320,0.0161
8,75,2.819,320,0.0161
